RANK,COUNTRY,Total Fertility Rate,DATE OF INFORMATION
1,NIGER,6.62,2016 EST.
2,BURUNDI,6.04,2016 EST.
3,MALI,5.95,2016 EST.
4,SOMALIA,5.89,2016 EST.
5,UGANDA,5.8,2016 EST.
6,BURKINA FASO,5.79,2016 EST.
7,ZAMBIA,5.67,2016 EST.
8,MALAWI,5.54,2016 EST.
9,ANGOLA,5.31,2016 EST.
10,AFGHANISTAN,5.22,2016 EST.
11,SOUTH SUDAN,5.19,2016 EST.
12,MOZAMBIQUE,5.15,2016 EST.
13,NIGERIA,5.13,2016 EST.
14,ETHIOPIA,5.07,2016 EST.
15,TIMOR-LESTE,4.9,2016 EST.
16,BENIN,4.86,2016 EST.
17,TANZANIA,4.83,2016 EST.
18,GUINEA,4.82,2016 EST.
19,SIERRA LEONE,4.76,2016 EST.
20,CAMEROON,4.7,2016 EST.
21,"CONGO, REPUBLIC OF THE",4.63,2016 EST.
22,LIBERIA,4.6,2016 EST.
23,"CONGO, DEMOCRATIC REPUBLIC OF THE",4.53,2016 EST.
24,EQUATORIAL GUINEA,4.48,2016 EST.
25,RWANDA,4.46,2016 EST.
26,CHAD,4.45,2016 EST.
27,TOGO,4.43,2016 EST.
28,GABON,4.43,2016 EST.
29,SAO TOME AND PRINCIPE,4.4,2016 EST.
30,SENEGAL,4.36,2016 EST.
31,CENTRAL AFRICAN REPUBLIC,4.36,2016 EST.
32,GAZA STRIP,4.3,2016 EST.
33,GUINEA-BISSAU,4.16,2016 EST.
34,MADAGASCAR,4.12,2016 EST.
35,ERITREA,4.07,2016 EST.
36,IRAQ,4.06,2016 EST.
37,GHANA,4.03,2016 EST.
38,WESTERN SAHARA,3.93,2016 EST.
39,MAURITANIA,3.93,2016 EST.
40,YEMEN,3.77,2016 EST.
41,SUDAN,3.68,2016 EST.
42,"GAMBIA, THE",3.63,2016 EST.
43,EGYPT,3.53,2016 EST.
44,ZIMBABWE,3.5,2016 EST.
45,COMOROS,3.47,2016 EST.
46,COTE D'IVOIRE,3.46,2016 EST.
47,NAMIBIA,3.36,2016 EST.
48,WEST BANK,3.33,2016 EST.
49,SOLOMON ISLANDS,3.22,2016 EST.
50,JORDAN,3.18,2016 EST.
51,TONGA,3.18,2016 EST.
52,VANUATU,3.16,2016 EST.
53,KENYA,3.14,2016 EST.
54,PAPUA NEW GUINEA,3.1,2016 EST.
55,MARSHALL ISLANDS,3.09,2016 EST.
56,PHILIPPINES,3.06,2016 EST.
57,TUVALU,2.98,2016 EST.
58,BELIZE,2.9,2016 EST.
59,AMERICAN SAMOA,2.87,2016 EST.
60,NAURU,2.84,2016 EST.
61,OMAN,2.84,2016 EST.
62,GUATEMALA,2.83,2016 EST.
63,HAITI,2.79,2016 EST.
64,SAMOA,2.77,2016 EST.
65,LAOS,2.76,2016 EST.
66,SWAZILAND,2.74,2016 EST.
67,ALGERIA,2.74,2016 EST.
68,HONDURAS,2.72,2016 EST.
69,BOLIVIA,2.68,2016 EST.
70,LESOTHO,2.68,2016 EST.
71,PAKISTAN,2.68,2016 EST.
72,TAJIKISTAN,2.67,2016 EST.
73,ISRAEL,2.66,2016 EST.
74,KYRGYZSTAN,2.64,2016 EST.
75,CAMBODIA,2.56,2016 EST.
76,SYRIA,2.55,2016 EST.
77,MALAYSIA,2.53,2016 EST.
78,INDIA,2.45,2016 EST.
79,"MICRONESIA, FEDERATED STATES OF",2.45,2016 EST.
80,KUWAIT,2.44,2016 EST.
81,FIJI,2.44,2016 EST.
82,KIRIBATI,2.43,2016 EST.
83,FAROE ISLANDS,2.36,2016 EST.
84,VENEZUELA,2.35,2016 EST.
85,DJIBOUTI,2.35,2016 EST.
86,UNITED ARAB EMIRATES,2.33,2016 EST.
87,PANAMA,2.33,2016 EST.
88,GUAM,2.31,2016 EST.
89,SOUTH AFRICA,2.31,2016 EST.
90,DOMINICAN REPUBLIC,2.31,2016 EST.
91,BOTSWANA,2.3,2016 EST.
92,KAZAKHSTAN,2.28,2016 EST.
93,ARGENTINA,2.28,2016 EST.
94,CABO VERDE,2.26,2016 EST.
95,MEXICO,2.25,2016 EST.
96,ECUADOR,2.22,2016 EST.
97,COOK ISLANDS,2.21,2016 EST.
98,BANGLADESH,2.19,2016 EST.
99,NEPAL,2.18,2016 EST.
100,PERU,2.15,2016 EST.
101,BURMA,2.15,2016 EST.
102,INDONESIA,2.13,2016 EST.
103,MONGOLIA,2.13,2016 EST.
104,MOROCCO,2.12,2016 EST.
105,SAUDI ARABIA,2.11,2016 EST.
106,SRI LANKA,2.09,2016 EST.
107,TURKMENISTAN,2.08,2016 EST.
108,FRANCE,2.07,2016 EST.
109,CURACAO,2.06,2016 EST.
110,SINT MAARTEN,2.06,2013 EST.
111,DOMINICA,2.04,2016 EST.
112,GRENADA,2.04,2016 EST.
113,GUYANA,2.04,2016 EST.
114,LIBYA,2.04,2016 EST.
115,TURKEY,2.03,2016 EST.
116,NEW ZEALAND,2.03,2016 EST.
117,COLOMBIA,2.02,2016 EST.
118,ANTIGUA AND BARBUDA,2.01,2016 EST.
119,ICELAND,2.01,2016 EST.
120,GREENLAND,2.01,2016 EST.
121,JAMAICA,1.99,2016 EST.
122,IRELAND,1.98,2016 EST.
123,TUNISIA,1.98,2016 EST.
124,NORTHERN MARIANA ISLANDS,1.96,2016 EST.
125,"KOREA, NORTH",1.96,2016 EST.
126,SURINAME,1.95,2016 EST.
127,NEW CALEDONIA,1.95,2016 EST.
128,"BAHAMAS, THE",1.95,2016 EST.
129,BERMUDA,1.94,2016 EST.
130,BHUTAN,1.93,2016 EST.
131,ISLE OF MAN,1.93,2016 EST.
132,NICARAGUA,1.92,2016 EST.
133,GIBRALTAR,1.91,2016 EST.
134,PARAGUAY,1.91,2016 EST.
135,QATAR,1.9,2016 EST.
136,FRENCH POLYNESIA,1.9,2016 EST.
137,COSTA RICA,1.9,2016 EST.
138,AZERBAIJAN,1.9,2016 EST.
139,UNITED KINGDOM,1.89,2016 EST.
140,EL SALVADOR,1.89,2016 EST.
141,SWEDEN,1.88,2016 EST.
142,UNITED STATES,1.87,2016 EST.
143,NORWAY,1.86,2016 EST.
144,SEYCHELLES,1.86,2016 EST.
145,CAYMAN ISLANDS,1.85,2016 EST.
146,ARUBA,1.84,2016 EST.
147,IRAN,1.83,2016 EST.
148,VIETNAM,1.82,2016 EST.
149,URUGUAY,1.81,2016 EST.
150,CHILE,1.81,2016 EST.
151,SAINT VINCENT AND THE GRENADINES,1.81,2016 EST.
152,BRUNEI,1.79,2016 EST.
153,BELGIUM,1.78,2016 EST.
154,UZBEKISTAN,1.78,2016 EST.
155,NETHERLANDS,1.78,2016 EST.
156,SAINT KITTS AND NEVIS,1.78,2016 EST.
157,BAHRAIN,1.77,2016 EST.
158,AUSTRALIA,1.77,2016 EST.
159,GEORGIA,1.76,2016 EST.
160,BRAZIL,1.76,2016 EST.
161,SAINT LUCIA,1.75,2016 EST.
162,FINLAND,1.75,2016 EST.
163,ANGUILLA,1.75,2016 EST.
164,MAURITIUS,1.75,2016 EST.
165,WALLIS AND FUTUNA,1.74,2016 EST.
166,DENMARK,1.73,2016 EST.
167,VIRGIN ISLANDS,1.73,2016 EST.
168,MALDIVES,1.73,2016 EST.
169,LEBANON,1.73,2016 EST.
170,TRINIDAD AND TOBAGO,1.71,2016 EST.
171,PALAU,1.71,2016 EST.
172,CUBA,1.71,2016 EST.
173,TURKS AND CAICOS ISLANDS,1.7,2016 EST.
174,LIECHTENSTEIN,1.69,2016 EST.
175,BARBADOS,1.68,2016 EST.
176,JERSEY,1.66,2016 EST.
177,ARMENIA,1.64,2016 EST.
178,PUERTO RICO,1.64,2016 EST.
179,RUSSIA,1.61,2016 EST.
180,LUXEMBOURG,1.61,2016 EST.
181,MACEDONIA,1.6,2016 EST.
182,CHINA,1.6,2016 EST.
183,CANADA,1.6,2016 EST.
184,ESTONIA,1.6,2016 EST.
185,LITHUANIA,1.59,2016 EST.
186,"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",1.58,2016 EST.
187,SAINT PIERRE AND MIQUELON,1.57,2016 EST.
188,MOLDOVA,1.56,2016 EST.
189,GUERNSEY,1.56,2016 EST.
190,SWITZERLAND,1.55,2016 EST.
191,MALTA,1.55,2016 EST.
192,UKRAINE,1.54,2016 EST.
193,MONACO,1.53,2016 EST.
194,PORTUGAL,1.53,2016 EST.
195,LATVIA,1.51,2016 EST.
196,THAILAND,1.51,2016 EST.
197,ALBANIA,1.51,2016 EST.
198,SAN MARINO,1.5,2016 EST.
199,SPAIN,1.49,2016 EST.
200,BELARUS,1.48,2016 EST.
201,CYPRUS,1.47,2016 EST.
202,AUSTRIA,1.47,2016 EST.
203,BULGARIA,1.46,2016 EST.
204,CZECHIA,1.45,2016 EST.
205,GERMANY,1.44,2016 EST.
206,HUNGARY,1.44,2016 EST.
207,SERBIA,1.43,2016 EST.
208,ITALY,1.43,2016 EST.
209,GREECE,1.42,2016 EST.
210,JAPAN,1.41,2016 EST.
211,SLOVAKIA,1.4,2016 EST.
212,ANDORRA,1.39,2016 EST.
213,CROATIA,1.39,2016 EST.
214,SLOVENIA,1.35,2016 EST.
215,POLAND,1.34,2016 EST.
216,ROMANIA,1.34,2016 EST.
217,MONTSERRAT,1.31,2016 EST.
218,BRITISH VIRGIN ISLANDS,1.28,2016 EST.
219,BOSNIA AND HERZEGOVINA,1.28,2016 EST.
220,"KOREA, SOUTH",1.25,2016 EST.
221,HONG KONG,1.19,2016 EST.
222,TAIWAN,1.12,2016 EST.
223,MACAU,0.94,2016 EST.
224,SINGAPORE,0.82,2016 EST.
